time_s,x_m,y_m,z_m,qw,qx,qy,qz,wheel_x_rad,wheel_y_rad,wheel_z_rad,vx_world_m_s,vy_world_m_s,vz_world_m_s,wx_body_rad_s,wy_body_rad_s,wz_body_rad_s,wheel_x_relative_rad_s,wheel_y_relative_rad_s,wheel_z_relative_rad_s,active_contacts,normal_force_n,minimum_contact_distance_m,max_loaded_point_slip_m_s,potential_j,kinetic_j,motor_work_j,passive_work_j,constraint_work_j,command_x_nm,command_y_nm,command_z_nm,delayed_x_nm,delayed_y_nm,delayed_z_nm,applied_x_nm,applied_y_nm,applied_z_nm,saturated_x_bool,saturated_y_bool,saturated_z_bool,speed_cutoff_x_bool,speed_cutoff_y_bool,speed_cutoff_z_bool,speed_exceeded_x_bool,speed_exceeded_y_bool,speed_exceeded_z_bool,angular_momentum_x_world_nms,angular_momentum_y_world_nms,angular_momentum_z_world_nms,linear_momentum_x_world_kg_m_s,linear_momentum_y_world_kg_m_s,linear_momentum_z_world_kg_m_s,omega_world_x_rad_s,omega_world_y_rad_s,omega_world_z_rad_s,wheel_absolute_axial_x_rad_s,wheel_absolute_axial_y_rad_s,wheel_absolute_axial_z_rad_s,attitude_error_x_body_rad,attitude_error_y_body_rad,attitude_error_z_body_rad
0.0,0.0,0.0,0.2595447919456735,0.9959527330119943,0.08987854919801104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.101863454838952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17999999999999997,0.0,0.0
0.01,-1.0884370551279179e-21,1.1149451973650352e-21,0.2590544594456735,0.9959527330119943,0.08987854919801104,0.0,0.0,-2.984505813543329e-19,-2.848693007986542e-19,-4.553526945361953e-21,-2.182311990528936e-19,2.227194812557069e-19,-0.09806649999999999,2.6645352591003756e-17,2.6645352591003756e-17,0.0,-5.969011627086658e-17,-5.697386015973084e-17,-9.1070538907239e-19,0.0,0.0,0.0,0.0,8.087128816179817,0.014734638659137439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.824222946168375e-19,1.1576196231476301e-18,2.2207161567743556e-19,8.448639273148328e-21,1.3980433706307818e-20,-0.30050299866187624,2.6645352591003756e-17,2.6214862088774675e-17,4.770306108148081e-18,-3.304476367986283e-17,-3.032850756872708e-17,-9.1070538907239e-19,-0.17999999999999997,0.0,0.0
0.020000000000000004,-4.399753334038472e-21,4.450083963032632e-21,0.2575834619456736,0.9959527330119943,0.08987854919801104,0.0,0.0,-1.1938023254173314e-18,-1.139477203194617e-18,-1.821410778144779e-20,-4.434882687019073e-19,4.445778300951126e-19,-0.19613299999999997,5.3290705182007506e-17,5.3290705182007506e-17,0.0,-1.1938023254173314e-16,-1.139477203194617e-16,-1.8214107781447783e-18,0.0,0.0,0.0,0.0,8.042924900202406,0.058938554636549755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9648445892336745e-18,2.31523924629526e-18,4.441432313548711e-19,-4.631940731891585e-21,2.5322118468343724e-20,-0.6010059973237525,5.3290705182007506e-17,5.2429724177549344e-17,9.54061221629616e-18,-6.608952735972563e-17,-6.065701513745418e-17,-1.8214107781447783e-18,-0.17999999999999997,0.0,0.0
0.030000000000000013,-9.996985837177646e-21,1.0106778607587266e-20,0.25513179944567355,0.9959527330119943,0.08987854919801104,0.0,0.0,-2.6860552321889962e-18,-2.5638237071878883e-18,-4.098174250825751e-20,-6.775348769749668e-19,6.919546447100133e-19,-0.29419949999999995,7.993605777301128e-17,7.993605777301128e-17,0.0,-1.7907034881259977e-16,-1.7092158047919256e-16,-2.7321161672171662e-18,0.0,0.0,0.0,0.0,7.969251706906717,0.13261174793223693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.199406991436384e-18,3.151103892583693e-18,6.662148470323068e-19,-4.464610879585105e-20,1.1485947134116835e-19,-0.9015089959856284,7.993605777301128e-17,7.864458626632404e-17,1.4310918324444245e-17,-9.913429103958849e-17,-9.098552270618128e-17,-2.7321161672171662e-18,-0.17999999999999997,0.0,0.0
0.04000000000000002,-1.7989662520543297e-20,1.828809083096929e-20,0.2516994719456735,0.9959527330119943,0.08987854919801104,0.0,0.0,-4.775209301669327e-18,-4.557908812778468e-18,-7.28564311257911e-20,-9.19445270431883e-19,9.45523838895737e-19,-0.39226599999999995,1.0658141036401506e-16,1.0658141036401506e-16,0.0,-2.387604650834664e-16,-2.278954406389234e-16,-3.6428215562895534e-18,0.0,0.0,0.0,0.0,7.866109236292753,0.23575421854619902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.929689178467351e-18,4.630478492590522e-18,8.882864627097426e-19,-1.0875709920568648e-19,2.233719954486642e-19,-1.202011994647505,1.0658141036401506e-16,1.0485944835509874e-16,1.908122443259233e-17,-1.3217905471945131e-16,-1.2131403027490832e-16,-3.6428215562895534e-18,-0.17999999999999997,0.0,0.0
0.05000000000000003,-2.840468224951926e-20,2.8976523776064306e-20,0.2472864794456735,0.9959527330119943,0.08987854919801104,0.0,0.0,-7.461264533858323e-18,-7.121732519966354e-18,-1.1383817363404857e-19,-1.167090001682445e-18,1.1849043466833274e-18,-0.49033249999999995,1.3322676295501883e-16,1.3322676295501883e-16,0.0,-2.98450581354333e-16,-2.8486930079865413e-16,-4.55352694536194e-18,0.0,0.0,0.0,0.0,7.733497488360516,0.36836596647843595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996158175612811e-18,5.680846456785088e-18,1.110358078387178e-18,-1.9043969360190446e-19,2.8840644284584436e-19,-1.5025149933093807,1.3322676295501883e-16,1.3107431044387343e-16,2.385153054074041e-17,-1.6522381839931418e-16,-1.516425378436353e-16,-4.55352694536194e-18,-0.17999999999999997,0.0,0.0
0.06000000000000004,-4.1341518649142464e-20,4.19651499032896e-20,0.2418928219456735,0.9959527330119943,0.08987854919801104,0.0,0.0,-1.0744220928755986e-17,-1.0255294828751548e-17,-1.7677677355878395e-19,-1.419110342874261e-18,1.4155724507927524e-18,-0.5883989999999997,1.598721155460226e-16,1.598721155460226e-16,0.0,-3.5814069762519963e-16,-3.4184316095838487e-16,-2.1526486741626898e-17,0.0,0.0,0.0,0.0,7.571416463110005,0.5304469917289474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39881398287277e-18,6.302337188002352e-18,1.3317185704185435e-18,-2.8553037239310383e-19,3.2674366508619276e-19,-1.8030179919712561,1.598721155460226e-16,1.5728917253264813e-16,2.8621836648888496e-17,-1.9826858207917702e-16,-1.8197104541236226e-16,-2.1526486741626898e-17,-0.17999999999999997,0.0,0.0
0.07000000000000005,-5.667512029313335e-20,5.745910581490768e-20,0.2355184994456735,0.9959527330119943,0.08987854919801104,0.0,0.0,-1.4624078486362316e-17,-1.395859573913405e-17,-8.527631930846839e-19,-1.6505617139389745e-18,1.6840358075950638e-18,-0.6864654999999994,1.865174681370264e-16,1.865174681370264e-16,0.0,-4.1783081389606625e-16,-3.988170211181156e-16,-9.632356240378512e-17,0.0,0.0,0.0,0.0,7.379866160541218,0.7219972942977334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.792909359789239e-18,8.211313676862286e-18,1.5505190173240502e-18,-3.1759201269939736e-19,4.808960410171128e-19,-2.1035209906331316,1.865174681370264e-16,1.8350403462142283e-16,3.3392142757036584e-17,-2.313133457590399e-16,-2.1229955298108921e-16,-9.632356240378512e-17,-0.17999999999999997,0.0,0.0
0.08000000000000006,-7.421399497054292e-20,7.56112452551362e-20,0.22816351194567353,0.9959527330119943,0.08987854919801104,0.0,0.0,-1.935783327719239e-17,-1.823163525111386e-17,-1.820552344067897e-18,-1.857589450777016e-18,1.9447151904111355e-18,-0.7845319999999991,2.1316282072803017e-16,2.1316282072803017e-16,0.0,-6.188687689502282e-16,-4.557908812778464e-16,-9.723426779285749e-17,0.0,0.0,0.0,0.0,7.158846580654157,0.9430168741847943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.525391324418445e-18,8.403668369432324e-18,1.7725906330014854e-18,-2.748128529023366e-19,6.111961582830356e-19,-2.4040239892950064,2.1316282072803017e-16,2.0971889671019753e-16,3.8162448865184665e-17,-4.057059482221981e-16,-2.4262806054981625e-16,-9.723426779285749e-17,-0.17999999999999997,0.0,0.0
0.09000000000000007,-9.379779351125374e-20,9.652840937500598e-20,0.2198278594456735,0.9959527330119943,0.08987854919801104,0.0,0.0,-2.7772442076912126e-17,-2.3074413364690975e-17,-2.7974485489418335e-18,-2.0640509451490873e-18,2.2362982542602944e-18,-0.8825984999999988,2.3980817331903393e-16,2.3980817331903393e-16,0.0,-1.0640529909937187e-15,-5.127647414375771e-16,-9.814497318192986e-17,0.0,0.0,0.0,0.0,6.9083577234488205,1.1935057313901296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.902139466575148e-18,1.0312049605251414e-17,1.994662248678922e-18,-2.3029856888860845e-19,8.361937392101795e-19,-2.7045269879568825,2.3980817331903393e-16,2.359337587989722e-16,4.293275497333275e-17,-8.242448176746847e-16,-2.729565681185432e-16,-9.814497318192986e-17,-0.17999999999999997,0.0,0.0
