time_s,x_m,y_m,z_m,qw,qx,qy,qz,wheel_x_rad,wheel_y_rad,wheel_z_rad,vx_world_m_s,vy_world_m_s,vz_world_m_s,wx_body_rad_s,wy_body_rad_s,wz_body_rad_s,wheel_x_relative_rad_s,wheel_y_relative_rad_s,wheel_z_relative_rad_s,active_contacts,normal_force_n,minimum_contact_distance_m,max_loaded_point_slip_m_s,energy_work_residual_j,max_abs_energy_work_residual_all_steps_j,brake_work_j_subset_of_constraint_work,max_positive_brake_power_stage_w,phase_code,minimum_cube_corner_height_m,geometric_contact_count,potential_j,kinetic_j,motor_work_j,passive_work_j,constraint_work_j,command_x_nm,command_y_nm,command_z_nm,delayed_x_nm,delayed_y_nm,delayed_z_nm,applied_x_nm,applied_y_nm,applied_z_nm,saturated_x_bool,saturated_y_bool,saturated_z_bool,speed_cutoff_x_bool,speed_cutoff_y_bool,speed_cutoff_z_bool,speed_exceeded_x_bool,speed_exceeded_y_bool,speed_exceeded_z_bool,angular_momentum_x_world_nms,angular_momentum_y_world_nms,angular_momentum_z_world_nms,linear_momentum_x_world_kg_m_s,linear_momentum_y_world_kg_m_s,linear_momentum_z_world_kg_m_s,omega_world_x_rad_s,omega_world_y_rad_s,omega_world_z_rad_s,wheel_absolute_axial_x_rad_s,wheel_absolute_axial_y_rad_s,wheel_absolute_axial_z_rad_s,attitude_error_x_body_rad,attitude_error_y_body_rad,attitude_error_z_body_rad,brake_limit_x_nm,brake_limit_y_nm,brake_limit_z_nm,brake_torque_x_nm,brake_torque_y_nm,brake_torque_z_nm,ground_angular_impulse_x_world_nms,ground_angular_impulse_y_world_nms,ground_angular_impulse_z_world_nms,momentum_residual_x_world_nms,momentum_residual_y_world_nms,momentum_residual_z_world_nms,ground_force_x_world_n,ground_force_y_world_n,ground_force_z_world_n,wheel_relative_axial_momentum_x_body_axis_nms,wheel_relative_axial_momentum_y_body_axis_nms,wheel_relative_axial_momentum_z_body_axis_nms
0.0,0.0,0.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.855263904546848,0.0,0.0,0.0,0.0,0.15707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999999999995,5.826178079447091e-07,5.912479714646781e-07,0.1199913044885432,0.9999999999938384,-2.5003523745420325e-06,2.463856233010363e-06,-1.3745163258269542e-11,5.00070474910746e-06,-4.9277124660171105e-06,2.7490208262793927e-11,8.320669408256851e-05,8.443714688350955e-05,-0.0009662843218417959,-0.0007091013481802781,0.0006987682876679414,-2.0012695358940674e-09,0.000709101348180246,-0.0006987682876678972,2.0012695358679744e-09,4.0,30.102062549908368,-9.886918565127356e-06,9.158950483375918e-07,-1.1622290479448632e-07,1.1622290831727592e-07,0.0,0.0,1.0,-9.886918565127356e-06,4.0,3.854999449114088,1.519529543253657e-06,0.0,0.0,-0.00026281968031211536,0.15707927812881556,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.848084377716366e-05,2.816625174715408e-05,2.466911641662626e-08,0.0002727268855838092,0.00027675980806731885,-0.0030065511201345365,-0.00070910134817093,0.0006987682876774263,-2.00135587749117e-09,-3.209238430557093e-17,4.423544863740858e-17,-2.609299883267898e-20,0.7854031641005748,-4.671755114792352e-06,1.935134862718627e-06,0.0,0.0,0.0,0.0,0.0,0.0,-2.8480843777164978e-05,2.816625174715557e-05,2.4669116416206055e-08,1.3179832659276913e-18,-1.4907779871675686e-18,4.2020444245448785e-19,0.001380770941604522,0.001399686361860768,30.102062549908368,3.190956066811107e-08,-3.1444572945055376e-08,9.005712911405885e-14
0.019999999999999934,1.346225353077432e-06,1.366130610649357e-06,0.11998305014732667,0.9999999999675842,-5.735068976519132e-06,5.651506872202318e-06,-1.5801415426821395e-11,1.1470137953266383e-05,-1.1303013744419633e-05,3.160182414312311e-11,6.429322643951258e-05,6.524129924670815e-05,-0.0006589931254892932,-0.0005418871581191533,0.0005340128700445315,6.9806551311113e-10,0.0005418871581190926,-0.0005340128700444574,-6.98065513138041e-10,4.0,30.15615559168787,-1.9682615317456742e-05,3.090914743400601e-07,-1.1622290653847973e-07,1.1622290831727592e-07,0.0,0.0,1.0,-1.9682615317442864e-05,4.0,3.8547473249037387,7.148522909947033e-07,0.0,0.0,-0.0005157485679115717,0.1570793617359106,0.0,0.0,0.15707963267948966,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1764722190339933e-05,2.1525233617200307e-05,1.895171833448943e-08,0.0002105833863903435,0.00021368870276201917,-0.0020541763572803364,-0.0005418871580943874,0.0005340128700696617,6.978222208555216e-10,-6.071532165918825e-17,7.405100838075995e-17,-2.6910977060917357e-20,0.785409633526864,-1.0715924700498649e-05,4.438716446261513e-06,0.0,0.0,0.0,0.0,0.0,0.0,-2.1764722190346476e-05,2.1525233617207056e-05,1.8951718334066614e-08,6.542482484592216e-18,-6.749158523722265e-18,4.228150244677052e-19,-0.009519867866652591,-0.005101369771037635,30.15615559168787,2.438492211535917e-08,-2.4030579152000585e-08,-3.141294809121185e-14
0.029999999999999874,1.8486344553261067e-06,1.913402920365101e-06,0.11997801283039322,0.9999999999380744,-8.004358532099078e-06,7.73173078634688e-06,-9.958158550656944e-11,0.02223823093928595,-1.5463461573851458e-05,2.0115793693882748e-10,3.7285599321298704e-05,4.311910354014742e-05,-0.0003671364325117712,-0.00035675373423852135,0.000307846221803509,-1.1945240991729873e-08,4.444801198178693,-0.0003078462218034467,1.1945240991710862e-08,4.0,30.12297006218679,-2.5763801318898216e-05,4.692605599834662e-07,-1.1622290571638343e-07,1.1622290831727592e-07,0.0,0.0,1.0,-2.5763801318912094e-05,4.0,3.8545931889430327,0.00044466909167131607,0.0004445352160266537,0.0,-0.0006704655052649109,0.1548572320804003,0.0,-0.0,0.15707927812881556,0.0,-0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001856464196738197,1.2383758977641874e-05,-1.25648458022417e-08,0.00012207714864622904,0.00014119478490997174,-0.0011465387338947014,-0.0003567537343573743,0.0003078462216880426,-1.1356816393672629e-08,4.444444444444454,6.228741480929223e-17,-1.9010264837693682e-20,0.7854141720985335,-1.4660218167636016e-05,6.0726824072810884e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00018564641967380778,1.2383758977653946e-05,-1.256484580268775e-08,1.1926223897340549e-17,-1.2071913564268288e-17,4.4605052787431975e-19,-0.007513945380759941,-0.007565967834466902,30.12297006218679,0.0002000160539180412,-1.3853079981155104e-08,5.375358446269888e-13
0.04000000000000012,2.1235385217049025e-06,2.240564825595816e-06,0.1199753188115449,0.999999999916949,-9.355225337913765e-06,8.864684365152293e-06,-1.066258491233635e-10,0.08890759933956469,-1.7729368731455284e-05,2.1802701411180594e-10,1.92999887697911e-05,2.3624902380528664e-05,-0.00018891582080619087,-0.0001946971161989704,0.00015880038048028588,5.461403460060137e-09,8.889083586005095,-0.00015880038048017155,-5.461403460065775e-09,4.0,30.090883103020396,-2.9053926918876094e-05,3.6155007728573086e-07,-1.162229048452812e-07,1.1622290831727592e-07,0.0,0.0,1.0,-2.9053926918876094e-05,4.0,3.8545106544783727,0.001777837540999425,0.0017779225840322283,0.0,-0.0007532188886032863,0.15263509088648713,0.0,0.0,0.1570793617359106,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003921613930487035,6.382062581730239e-06,-1.629450489281787e-08,6.317592656018721e-05,7.734129166951566e-05,-0.0005903450070423436,-0.00019469711606401823,0.00015880038062848724,5.942033735056764e-09,8.888888888888896,1.1432911908859644e-16,-5.638063055161437e-21,0.7854168738271193,-1.6808432604031444e-05,6.962517610199956e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0003921613930233347,6.382062587390885e-06,-1.6294504895610696e-08,2.53687587430107e-14,-5.6606458005681835e-15,2.7928264457750384e-18,-0.004383237891288078,-0.005053295391126349,30.090883103020396,0.00040000876137022927,-7.14601712160772e-09,-2.457631557029599e-13
0.050000000000000405,2.261761330867614e-06,2.412357426409027e-06,0.11997395872073971,0.9999999999048877,-1.006222420853129e-05,9.432758624635567e-06,-6.842979864063297e-11,0.20002012444841807,-1.8865517249666045e-05,1.4354475190049307e-10,9.415559929974886e-06,1.1894179929053133e-05,-9.357220432267818e-05,-9.776603291607801e-05,7.73079766277875e-05,7.909350074641996e-09,13.333431099366257,-7.730797662764683e-05,-7.909350074641972e-09,4.0,30.071201279631484,-3.072002948581454e-05,2.1641377715497268e-07,-1.1622290383740685e-07,1.1622290831727592e-07,0.0,0.0,1.0,-3.072002948580066e-05,4.0,3.8544689729454125,0.004000014665956574,0.004000173086209297,0.0,-0.0007949737987845177,0.15041291712980653,0.0,0.0,0.1548572320804003,0.0,-0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005960625180362929,3.105265983827835e-06,-1.6925676698349613e-08,3.081624469934266e-05,3.893185460194366e-05,-0.0002924048290613153,-9.776603275356123e-05,7.73079768032433e-05,8.197976463868687e-09,13.333333333333341,1.4066167935283813e-16,2.481541837659083e-23,0.785418287822082,-1.7885601947447812e-05,7.408610910834264e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0005960625180109257,3.105265989485947e-06,-1.6925676700971027e-08,2.5367186649860596e-14,-5.658111901506472e-15,2.6214147705193498e-18,-0.002274836949291087,-0.002778086989294881,30.071201279631484,0.0006000043994714816,-3.4788589482441075e-09,-3.5592075335888874e-13
0.06000000000000069,2.328067269062739e-06,2.4969271740209538e-06,0.11997329164703445,0.99999999989873,-1.0409513752878164e-05,9.70479206444766e-06,-3.3297331231693103e-11,0.35557637458306324,-1.9409584128597014e-05,7.43577210327799e-11,4.4345088015894076e-06,5.718081250066518e-06,-4.543040082428001e-05,-4.692183877469213e-05,3.636090680146123e-05,5.721223842464415e-09,17.77782469961655,-3.636090680130447e-05,-5.721223842464136e-09,4.0,30.060653882792174,-3.153573775149798e-05,1.1456699268830631e-07,-1.1622290153109199e-07,1.1622290831727592e-07,0.0,0.0,1.0,-3.1535737751484105e-05,4.0,3.854448533521792,0.007111114559537612,0.0071112980889021975,0.0,-0.0008154383315189652,0.1481907203296814,0.0,0.0,0.15263509088648713,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007981098263768212,1.4599967669929658e-06,-1.8504975181392166e-08,1.4512410326529701e-05,1.871439694353637e-05,-0.00014191049994011654,-4.6921838659732196e-05,3.6360906925296626e-05,5.874958498421246e-09,17.777777777777775,1.5676208161424787e-16,2.7875986643037033e-22,0.7854189823997793,-1.8401438818353655e-05,7.622199493915077e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0007981098263514605,1.459996772645793e-06,-1.850497518421302e-08,2.5360681436825683e-14,-5.652827262948553e-15,2.820854633650785e-18,-0.0011114885303492087,-0.0014009229744789877,30.060653882792174,0.0008000021114827448,-1.6362408060587011e-09,-2.574550729108861e-13
0.07000000000000098,2.358964050356749e-06,2.5370465219331077e-06,0.11997296950143102,0.9999999998957666,-1.0574035980851939e-05,9.8314077829583e-06,-1.0250713390632551e-11,0.5555767036275195,-1.96628155651574e-05,2.882188105216576e-11,2.0416718375723585e-06,2.673342557816586e-06,-2.1816972846693095e-05,-2.191312574744955e-05,1.672551636336515e-05,3.5079192446320443e-09,22.22224413534797,-1.6725516363187807e-05,-3.507919244631913e-09,4.0,30.055325195289655,-3.19277550397401e-05,5.677746785836847e-08,-1.1622290203849861e-07,1.1622290831727592e-07,0.0,0.0,1.0,-3.192775503975398e-05,4.0,3.854438667882668,0.011111111903017867,0.011111304669791324,0.0,-0.0008253132080513368,0.14596851061181568,0.0,0.0,0.15041291712980653,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009991171197047304,6.713926155494931e-07,-2.1144938294017506e-08,6.681175846195512e-06,8.748854526460783e-06,-6.810558357731337e-05,-2.191312567737248e-05,1.672551643881603e-05,3.5850805695490476e-09,22.222222222222225,1.7734159410073835e-16,1.3110812708965489e-22,0.7854193114435741,-1.8641536112016695e-05,7.721599852456794e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0009991171196793742,6.713926211993496e-07,-2.1144938296533945e-08,2.5356236207918492e-14,-5.649856506644295e-15,2.51643893334147e-18,-0.0005240619890942876,-0.0006741696036119322,30.055325195289655,0.0010000009860906588,-7.526482363434514e-10,-1.578563660084361e-13
0.08000000000000126,2.3730865767621533e-06,2.555644998322372e-06,0.11997281525849819,0.9999999998943871,-1.06502347937571e-05,9.88923707016398e-06,3.587301789178463e-12,0.8000213004695899,-1.9778474139287307e-05,1.4211744600742743e-12,9.254595666985442e-07,1.227530648689266e-06,-1.0413121779130408e-05,-1.0054572269351406e-05,7.576591168982936e-06,2.102240517211862e-09,26.66667672123895,-7.57659116870152e-06,-2.102240517211619e-09,4.0,30.05271167495437,-3.211416405460299e-05,2.7082711570681046e-08,-1.162229022518696e-07,1.1622290831727592e-07,0.0,0.0,1.0,-3.211416405458911e-05,4.0,3.8544339476345866,0.01600000017945683,0.016000196606632735,0.0,-0.0008300371165349729,0.14374629431887018,0.0,0.0,0.1481907203296814,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001199594846002917,3.0406599790152446e-07,-2.444233080598259e-08,3.02833814849204e-06,4.01707896966112e-06,-3.248016835825972e-05,-1.0054572227456004e-05,7.576591214088661e-06,2.1397196641705932e-09,26.666666666666682,2.81415685296927e-16,2.427775097843136e-22,0.7854194638408951,-1.8751198527060606e-05,7.766992771666724e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0011995948459775575,3.0406600355520066e-07,-2.4442330808367413e-08,2.535948881443595e-14,-5.653676201719938e-15,2.3848212629944826e-18,-0.0002415061741148922,-0.00031543334739585243,30.05271167495437,0.0012000004524557529,-3.4094660259156844e-10,-9.460082327452287e-14
0.09000000000000155,2.37945492264215e-06,2.564136274827923e-06,0.11997274176315793,0.9999999998937587,-1.0685002165834837e-05,9.915299810543073e-06,1.2044806603393612e-11,1.0889102588932238,-1.9830599619869333e-05,-1.53613346811873e-11,4.1476408008994576e-07,5.567616778026122e-07,-4.952904934905713e-06,-4.558056531557705e-06,3.3940191225257455e-06,1.3372540112781396e-09,31.111115669167663,-3.394019122179442e-06,-1.3372540112783824e-09,4.0,30.051450083714833,-3.220225832006873e-05,1.2631406909367766e-08,-1.162229020003347e-07,1.1622290831727592e-07,0.0,0.0,1.0,-3.220225832006873e-05,4.0,3.8544317004061415,0.021777777818142517,0.021777975775105398,0.0,-0.0008322858747674056,0.14152407484490584,0.0,0.0,0.14596851061181568,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013998163078813252,1.3617934497899742e-07,-2.8088381254758598e-08,1.3571598309970921e-06,1.8219491677191318e-06,-1.5434834489454316e-05,-4.55805650494384e-06,3.394019151183888e-06,1.3551128014873925e-09,31.111111111111132,3.463034912542899e-16,-2.427775097843136e-22,0.7854195333755013,-1.8800623380217573e-05,7.787446428284131e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0013998163078559568,1.36179350638349e-07,-2.8088381256854617e-08,2.536837927225033e-14,-5.659351587164338e-15,2.0960194239277185e-18,-0.0001095685947378811,-0.00014493697459881644,30.051450083714833,0.001400000205112545,-1.527308604980749e-10,-6.017643050752721e-14
