time_s,x_m,y_m,z_m,qw,qx,qy,qz,wheel_x_rad,wheel_y_rad,wheel_z_rad,vx_world_m_s,vy_world_m_s,vz_world_m_s,wx_body_rad_s,wy_body_rad_s,wz_body_rad_s,wheel_x_relative_rad_s,wheel_y_relative_rad_s,wheel_z_relative_rad_s,active_contacts,normal_force_n,minimum_contact_distance_m,max_loaded_point_slip_m_s,potential_j,kinetic_j,motor_work_j,passive_work_j,constraint_work_j,command_x_nm,command_y_nm,command_z_nm,delayed_x_nm,delayed_y_nm,delayed_z_nm,applied_x_nm,applied_y_nm,applied_z_nm,saturated_x_bool,saturated_y_bool,saturated_z_bool,speed_cutoff_x_bool,speed_cutoff_y_bool,speed_cutoff_z_bool,speed_exceeded_x_bool,speed_exceeded_y_bool,speed_exceeded_z_bool,angular_momentum_x_world_nms,angular_momentum_y_world_nms,angular_momentum_z_world_nms,linear_momentum_x_world_kg_m_s,linear_momentum_y_world_kg_m_s,linear_momentum_z_world_kg_m_s,omega_world_x_rad_s,omega_world_y_rad_s,omega_world_z_rad_s,wheel_absolute_axial_x_rad_s,wheel_absolute_axial_y_rad_s,wheel_absolute_axial_z_rad_s,attitude_error_x_body_rad,attitude_error_y_body_rad,attitude_error_z_body_rad
0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020000000000000004,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,-0.004,0.005,0.006,-0.004,0.005,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030000000000000013,-1.0804254102559682e-07,3.9296365698901784e-09,0.3000001315996743,0.9999999999851938,-3.6845441722901225e-06,2.5342330551797963e-06,-3.1006621557279336e-06,0.006674035755011282,-0.0044495129105548165,0.005561756879867011,-2.160843906716172e-05,7.86091291616507e-07,2.631998672349426e-05,-0.001473817668923323,0.0010136932220769217,-0.0012402648622972948,1.3348071510022563,-0.8899025821109634,1.1123513759734023,0.0,0.0,0.0,0.0,0.0,8.565105057162201e-05,8.565105057162201e-05,0.0,0.0,0.006,-0.004,0.005,0.006,-0.004,0.005,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.801201717564214e-21,-3.058583032976075e-20,2.8395456067720334e-20,2.659683454378503e-19,2.0837010502455788e-19,-7.030373462210692e-19,-0.001473817668923323,0.0010136932220769217,-0.0012402648622972948,1.333333333333333,-0.8888888888888865,1.111111111111105,7.369088344616614e-06,-5.068466110384607e-06,6.201324311486473e-06
0.04000000000000002,-4.321660157481642e-07,1.572838493507526e-08,0.3000005264018091,0.9999999997631015,-1.473817668806941e-05,1.0136932219968741e-05,-1.2402648621993556e-05,0.026696143020045127,-0.017798051642219266,0.022247027519468044,-4.3216048450681415e-05,1.5741503138701112e-06,5.264059579211979e-05,-0.0029476353378466457,0.0020273864441538434,-0.0024805297245945896,2.6696143020045127,-1.7798051642219264,2.224702751946804,0.0,0.0,0.0,0.0,0.0,0.0003426042022864879,0.00034260420228648806,0.0,0.0,0.006,-0.004,0.005,0.006,-0.004,0.005,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.82223617448503e-20,2.1519930816179568e-20,-5.023964168402069e-20,5.903819642362473e-19,4.70950318673391e-19,-1.832979297858306e-18,-0.0029476353378466453,0.002027386444153843,-0.00248052972459459,2.666666666666666,-1.7777777777777726,2.2222222222222094,2.9476353378466453e-05,-2.0273864441538432e-05,2.4805297245945892e-05
0.05000000000000003,-9.723579783371947e-07,3.542576103413584e-08,0.30000118441573864,0.9999999988007016,-3.316089753751816e-05,2.280809748761283e-05,-2.7905959390533273e-05,0.060066321795101546,-0.04004561619499334,0.0500558119188031,-6.482199831335052e-05,2.3661447918027353e-06,7.89624493639502e-05,-0.004421453006769969,0.0030410796662307654,-0.0037207945868918844,4.00442145300677,-2.66970774633289,3.337054127920206,0.0,0.0,0.0,0.0,0.0,0.0007708594551445984,0.0007708594551445983,0.0,0.0,0.006,-0.004,0.005,0.006,-0.004,0.005,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.494010907423989e-21,-2.726387298974779e-20,-6.254808919880974e-20,2.036267205199338e-18,-2.439454888092385e-19,-1.9312351197398048e-18,-0.00442145300676997,0.003041079666230766,-0.0037207945868918844,3.9999999999999996,-2.6666666666666594,3.3333333333333144,6.632179510154952e-05,-4.5616194993461466e-05,5.5811918803378254e-05
0.06000000000000004,-1.7285976831824499e-06,6.307095800466807e-08,0.3000021056570174,0.9999999962096247,-5.895270668244862e-05,4.05477288318465e-05,-4.961059442921087e-05,0.10678457208018051,-0.07119220656887706,0.08898811007787218,-8.642545851084104e-05,3.1640424392330895e-06,0.00010528616922293351,-0.00589527067569329,0.004054772888307686,-0.004961059449189178,5.339228604009025,-3.5596103284438527,4.449405503893607,0.0,0.0,0.0,0.0,0.0,0.0013704168091459522,0.0013704168091459522,0.0,0.0,0.006,-0.004,0.005,0.006,-0.004,0.005,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1795216524037216e-19,-5.008082300641051e-20,-1.7483289426920793e-19,2.346281263894412e-18,8.063753657860939e-19,-3.3610267347050637e-18,-0.0058952706756932914,0.004054772888307687,-0.00496105944918918,5.333333333333332,-3.555555555555545,4.444444444444418,0.00011790541351386583,-8.109545776615374e-05,9.92211889837836e-05
0.07000000000000005,-2.700856081055109e-06,9.873284604265398e-08,0.3000032901474149,0.9999999907461539,-9.211360402357263e-05,6.335582618437926e-05,-7.751655365447217e-05,0.16685089387528204,-0.1112378227638704,0.13904392199667526,-0.00010802559843818025,3.969810953063629e-06,0.00013161237659180356,-0.00736908834461661,0.005068466110384606,-0.006201324311486472,6.674035755011279,-4.449512910554816,5.561756879867008,0.0,0.0,0.0,0.0,0.0,0.002141276264290551,0.00214127626429055,0.0,0.0,0.006,-0.004,0.005,0.006,-0.004,0.005,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.506158732688661e-19,1.3954867806014598e-19,-5.665856323743218e-19,2.574980159653073e-18,2.168404344971009e-19,-4.0115480381963664e-18,-0.007369088344616614,0.00506846611038461,-0.006201324311486477,6.6666666666666625,-4.444444444444431,5.555555555555521,0.00018422720861541528,-0.0001267116527596152,0.0001550331077871618
0.08000000000000006,-3.889095813733865e-06,1.4249997220443796e-07,0.30000473791490934,0.9999999808112244,-0.00013264358935467636,9.1232389403377e-05,-0.0001116238368927816,0.2402652871804061,-0.16018246477997336,0.20022324767521232,-0.00012962158687626675,4.785418007489342e-06,0.0001579416919449605,-0.008842906013539929,0.0060821593324615255,-0.0074415891737837645,8.008842906013532,-5.339415492665778,6.674108255840407,0.0,0.0,0.0,0.0,0.0,0.0030834378205783926,0.0030834378205783918,0.0,0.0,0.006,-0.004,0.005,0.006,-0.004,0.005,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6565070808262994e-19,1.0746730518288936e-19,-3.7460032092321432e-19,3.3356157462874347e-18,1.0842021724855044e-18,-5.976664475826343e-18,-0.008842906013539934,0.006082159332461531,-0.007441589173783771,7.999999999999992,-5.333333333333317,6.666666666666623,0.000265287180406198,-0.00018246477997384584,0.00022324767521351296
0.09000000000000007,-5.293271207096438e-06,1.9448056015016788e-07,0.30000644899367906,0.9999999644504242,-0.00018054266230370193,0.000124177418232938,-0.00015193244383104057,0.32702775199555273,-0.2180261326171859,0.27252608711348336,-0.00015121259183844155,5.612831248076383e-06,0.00018427473482130992,-0.010316723682463249,0.007095852554538445,-0.008681854036081058,9.34365005701579,-6.229318074776738,7.786459631813806,0.0,0.0,0.0,0.0,0.0,0.00419690147800948,0.004196901478009478,0.0,0.0,0.006,-0.004,0.005,0.006,-0.004,0.005,0.006,-0.004,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8920598459292934e-19,7.090724559702562e-19,-5.146783945753942e-19,5.951253487408714e-18,1.7618285302889447e-18,-6.2680438096818225e-18,-0.01031672368246326,0.007095852554538454,-0.008681854036081068,9.333333333333327,-6.222222222222199,7.777777777777725,0.00036108532888621387,-0.00024835483940884566,0.00030386489126283707
